Tagging ID,Day,Ai_trk,GP Job Name,Impressions,Media Cost,visits,Call Leads,Web Leads
4348319SOC-BDA1-C1,18-Jan-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,333,$5.85 ,3,#N/A,#N/A
4348319SOC-BDA1-C2,18-Jan-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,340,$6.87 ,3,0,#N/A
4348319SOC-BDA1-C3,18-Jan-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,156,$2.15 ,2,#N/A,#N/A
4348319SOC-BDA2-C3,18-Jan-19,19SOC-BDA2-C3,Age-In NTM Social Facebook (64+9 mo) Image Carousel,303,$6.00 ,#N/A,#N/A,#N/A
4348319SOC-BDA3-C1,18-Jan-19,19SOC-BDA3-C1,Age-In NTM Social Facebook (64+11mo) See Any Doctor Nationwide,177,$1.56 ,#N/A,#N/A,#N/A
4348319SOC-BDA3-C2,18-Jan-19,19SOC-BDA3-C2,Age-In NTM Social Facebook (64+11mo) Travel Between States -  no headline over image,337,$9.13 ,6,#N/A,#N/A
4348319SOC-BDA3-C3,18-Jan-19,19SOC-BDA3-C3,Age-In NTM Social Facebook (64+11mo) Med Sup -  Image Carousel,69,$1.32 ,#N/A,#N/A,#N/A
4348419SOC-BDA1-C1,19-Jan-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,304,$5.67 ,4,0,1
4348419SOC-BDA1-C2,19-Jan-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,299,$10.33 ,3,0,2
4348419SOC-BDA1-C3,19-Jan-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,339,$13.04 ,5,#N/A,#N/A
4348419SOC-BDA2-C3,19-Jan-19,19SOC-BDA2-C3,Age-In NTM Social Facebook (64+9 mo) Image Carousel,290,$9.16 ,1,#N/A,#N/A
4348419SOC-BDA3-C1,19-Jan-19,19SOC-BDA3-C1,Age-In NTM Social Facebook (64+11mo) See Any Doctor Nationwide,259,$3.18 ,2,#N/A,#N/A
4348419SOC-BDA3-C2,19-Jan-19,19SOC-BDA3-C2,Age-In NTM Social Facebook (64+11mo) Travel Between States -  no headline over image,229,$7.45 ,1,#N/A,#N/A
4348419SOC-BDA3-C3,19-Jan-19,19SOC-BDA3-C3,Age-In NTM Social Facebook (64+11mo) Med Sup -  Image Carousel,252,$7.16 ,1,#N/A,#N/A
4348519SOC-BDA1-C1,20-Jan-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,166,$2.84 ,#N/A,#N/A,#N/A
4348519SOC-BDA1-C2,20-Jan-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,206,$5.78 ,3,#N/A,#N/A
4348519SOC-BDA1-C3,20-Jan-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,234,$9.92 ,2,#N/A,#N/A
4348519SOC-BDA2-C3,20-Jan-19,19SOC-BDA2-C3,Age-In NTM Social Facebook (64+9 mo) Image Carousel,270,$8.92 ,1,#N/A,#N/A
4348519SOC-BDA3-C1,20-Jan-19,19SOC-BDA3-C1,Age-In NTM Social Facebook (64+11mo) See Any Doctor Nationwide,121,$3.55 ,1,#N/A,#N/A
4348519SOC-BDA3-C2,20-Jan-19,19SOC-BDA3-C2,Age-In NTM Social Facebook (64+11mo) Travel Between States -  no headline over image,161,$4.18 ,#N/A,#N/A,#N/A
4348519SOC-BDA3-C3,20-Jan-19,19SOC-BDA3-C3,Age-In NTM Social Facebook (64+11mo) Med Sup -  Image Carousel,140,$3.91 ,#N/A,#N/A,#N/A
4348619SOC-BDA1-C1,21-Jan-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,303,$5.60 ,3,#N/A,#N/A
4348619SOC-BDA1-C2,21-Jan-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,277,$5.17 ,#N/A,#N/A,#N/A
4348619SOC-BDA1-C3,21-Jan-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,295,$10.24 ,2,#N/A,#N/A
